title,price,milage,img,description
2024 Volkswagen Atlas 2.0T SEL Premium R-Line,"$51,742",Milage not defined,https://www.cars.com/i/large/in/v2/547f15f5-f009-5ef9-b8a9-f3ac8b529232/0745557b-af0d-4e31-be5f-411bd5b67ad8/eQnEoP9Jk-ljqBJ3E4ZLNhvtqGo.jpg,"Seller’s notes about this car

       Alloy Wheels,  Apple CarPlay/Android Auto,  Backup Camera,  Blind Spot Monitor,  Bluetooth, Hands Free,  Brake Assist,  Cruise Control,  Heated Seats,  Heated Steering Wheel,  Keyless Entry,  Lane Departure Warning,  Leather Seats,  Memory Seat,  Navigation System,  Po
      
        
rtable Audio Connection,  Premium Sound System / Premium Audio,  Remote Start,  Satellite Radio,  Security System,  Stability Control,  Steering Wheel Controls,  Sunroof/Moonroof,  Third Row Seating / 3rd Row Seats,  Tow Hitch,  Trailer Hitch,  USB Port. Factory MSRP: $54,839 $3,097 off MSRP! Silver Mist Metallic 2024 Volkswagen Atlas 4D Sport Utility 2.0T SEL Premium R-Line 2.0L TSI 19/25 City/Highway MPG 8-Speed Automatic with Tiptronic AWD Dealer not responsible for typographical errors, photo errors, pricing errors, or equipment errors. Please verify with a dealer representative that all details listed are accurate.

"
2023 Acura TLX Type S w/Performance Tire,"$57,113",Milage not defined,https://www.cars.com/i/large/in/v2/14128c88-6901-5f48-b211-d0076f86a0d6/08756f5f-3f24-49ec-b1fe-ed62b8efd69f/Wr-nz4Sgdzkk1FbE0wULQ8nELOU.jpg,"Seller’s notes about this car
2023 Acura TLX Type S w/Performance Tire Majestic Black Pearl 4D Sedan 10-Speed Automatic 3.0L 6-Cylinder DOHC 24VCome experience the first and only Acura dealership in the city of Chicago! Conveniently located off the Kennedy expressway at the Division exit! Our   facility is equipped with 4 themed customer waiting areas, a full service cafe, and a relaxing walkway along the Chicago river! Come experience the McGrath difference!"
2022 Lexus GX 460 Luxury,"$49,813","20,638 mi.",https://www.cars.com/i/large/in/v2/64dfa73e-02c0-53dc-a399-f6ff203bf188/dce48574-a2bf-4c3a-a2e7-d590011869d6/BwbtM1XC0Xq0GgGc2RrNXK4moDw.jpg,"Seller’s notes about this car

      2022 Lexus GX 460 Luxury Black Onyx BACK UP CAMERA, NAVIGATION, BLUETOOTH, HANDS-FREE, SUNROOF, LEATHER, HEATED SEATS, 3RD ROW SEAT, MULTI-ZONE CLIMATE CONTROL, HEATED STEERING WHEEL, KEYLESS ENTRY, PUSH BUTTON START, LANE DEPARTURE ALERT WITH STEERING ASSIST, BLIND SPOT MONITOR, REAR 
      
        
CROSS TRAFFIC ALERT, APPLE CARPLAY / ANDROID AUTO, POWER LIFTGATE, REMOTE START, 3rd row seats: split-bench, 9 Speakers, ABS brakes, Active Cruise Control, Adaptive suspension, Auto-leveling suspension, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Front dual zone A/C, Heated & Ventilated Front Bucket Seats, Heated front seats, Heated rear seats, Illuminated running boards, Navigation System, Power moonroof, Radio: Lexus Multimedia System w/Navigation, Semi-Aniline Leather Seat Trim, Steering wheel memory, Steering wheel mounted audio controls, Wheels: 19 x 7.5J Dark Gray Metallic Alum Alloy. Clean CARFAX. Free valet parking with indoor parking, shop for your vehicle in our 700,000 sq. Ft. Temperature controlled indoor showrooms.

"
2022 Toyota Highlander Hybrid LE,"$33,995","30,600 mi.",https://www.cars.com/i/large/in/v2/64dfa73e-02c0-53dc-a399-f6ff203bf188/f5fe35e6-7a04-4595-b369-28a5702197ba/K014t2cAnFGlWoGfvFO8OHlmQ6o.jpg,"Seller’s notes about this car

      2022 Toyota Highlander Hybrid LE AWD Silver BACK UP CAMERA, BLUETOOTH, HANDS-FREE, KEYLESS ENTRY, PUSH BUTTON START, LANE DEPARTURE ALERT WITH STEERING ASSIST, BLIND SPOT MONITOR, REAR CROSS TRAFFIC ALERT, APPLE CARPLAY / ANDROID AUTO, POWER LIFTGATE, REMOTE START, 2.5L I4 PDI Hybrid DOHC 
      
        
16V LEV3-SULEV30 186hp, 18 Painted Alloy Wheels, 3rd row seats: split-bench, 6 Speakers, ABS brakes, Air Conditioning, Apple CarPlay/Android Auto, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Exterior Parking Camera Rear, Front dual zone A/C, Fully automatic headlights, Panic alarm, Power driver seat, Power Liftgate, Power steering, Power windows, Radio: Audio Plus System, Rear air conditioning, Rear window defroster, Rear window wiper, Remote keyless entry, Spoiler, Steering wheel mounted audio controls, Tilt steering wheel, Traction control. 35/35 City/Highway MPG CARFAX One-Owner. Free valet parking with indoor parking, shop for your vehicle in our 700,000 sq. Ft. Temperature controlled indoor showrooms.

"
2023 Cadillac Escalade Sport Platinum,"$99,495","16,428 mi.",https://www.cars.com/i/large/in/v2/64dfa73e-02c0-53dc-a399-f6ff203bf188/015c885e-633a-4539-b867-4d59b1e73e69/30IgTOOKXothg9ABxKx5pu8O6ZU.jpg,"Seller’s notes about this car

      2023 Cadillac Escalade Sport Platinum Black Raven BACK UP CAMERA, NAVIGATION, BLUETOOTH, HANDS-FREE, PANORAMIC ROOF, LEATHER, HEATED SEATS, 3RD ROW SEAT, MULTI-ZONE CLIMATE CONTROL, HEATED & COOLED SEATS, MEDIA PLAYER, PUSH BUTTON START, WINDOW TINT, PEDESTRIAN DETECTION, DYNAMIC RADAR
      
        
 CRUISE CONTROL, LANE DEPARTURE ALERT WITH STEERING ASSIST, POWER PLUS, BLIND SPOT MONITOR, REAR CROSS TRAFFIC ALERT, APPLE CARPLAY / ANDROID AUTO, SMART KEY SYSTEM, AIR RIDE ADAPTIVE SUSPENSION, DIFFERENTIAL, ELECTRONIC LIMITED SLIP, MAGNETIC RIDE CONTRO, 16.9 DIAG. OLED INFOTAINMENT SCREEN, EMBEDDED NAVIGATION, VOICE RECOGNITION, 14.2 DIAG. OLED RECONFIG. CLUSTER DISPLAY, 7.2 DIAG. OLED CONTROL PANEL, AKG STUDIO REFERENCE 36- SPEAKER AUDIO SYSTEM, WIRELESS APPLE CARPLAY & WIRELESS ANDROID AUTO CAPABLE, REAR SEAT ENTERTAINMENT SYS, HEAD-UP DISPLAY, SUNROOF, POWER PANORAMIC, REAR CAMERA MIRROR, WIRELESS DEVICE CHARGING, PASSIVE ENTRY & KEYLESS START, HEATED STEERING WHEEL, HEATED & VENTED FRONT SEATS, 2ND ROW BUCKET, POWER RELEASE, HEATED SEATS, 3RD ROW 60/40 SPLIT- BENCH, POWER FOLD, MEMORY SETTINGS DRIVER SEAT, OUTSIDE MIRRORS, TILT/ TELESCOPIC STEERING COLUMN, TRI ZONE AUTO CLIMATE CONTROL, SELECTABLE INTERIOR LIGHTING, DOOR HANDLES, ILLUMINATED, HANDS FREE POWER LIFTGATE, WHEELS, 22 12-SPOKE DARK ANDROID, ADAPTIVE CRUISE CONTROL, ENHANCED AUTOMATIC EMERGENCY BRAKING, REVERSE AUTOMATIC BRAKING, REAR CROSS TRAFFIC ALERT, TRAILER SIDE BLIND ZONE ALERT, ENHANCED AUTO PARKING ASSIST, THEFT-DETERRENT PACKAGE, HD SURROUND VISION, SAFETY ALERT SEAT, FORWARD COLLISION ALERT, FRONT PEDESTRIAN BRAKING, REAR PEDESTRIAN ALERT, BRAKE PAD MONITOR, LANE KEEP ASSIST W/ LANE DEPARTURE WARNING, SUPER CRUISE, 4WD, Jet Black Leather, Adaptive Cruise Control, Air Ride Adaptive Suspension, AKG Studio Reference 36-Speaker Audio System, Automatic Seat Belt Tightening, Body-Color Door Handles, Door Lock & Latch Shields, Electronic Limited-Slip Differential, Enhanced Automatic Emergency Braking, Enhanced Automatic Parking Assist, Floor Console w/Covered Storage, Front Auxiliary 12-volt Power Outlet, Glass Breakage Sensor, Heated & Ventilated Driver & Front Passenger Seats, Hitch Guidance w/Hitch View, Illuminating Front & Rear Sill Plates, Integrated Trailer Brake Controller, Livery Package, Platinum Interior Trim, Power Lumbar Massage Driver Seat, Power Lumbar Massage Front Passenger Seat, Power Panoramic Tilt-Sliding Sunroof, Preferred Equipment Group 1SH, Rear Camera Mirror, Rear Camera Mirror Washer, Rear Cross Traffic Alert, Rear Seat Entertainment System, Reconfigurable Full-Color Head-Up Display, Reverse Automatic Braking, Running Board Assist Steps, Smart Trailer Integration Indicator, Soft Closing Front & Rear Doors, Theft-Deterrent Alarm System, Touring Package, Trailer Side Blind Zone Alert, Vehicle Inclination Sensor, Vehicle Interior Movement Sensor. Clean CARFAX. CARFAX One-Owner. Free valet parking with indoor parking, shop for your vehicle in our 700,0

"
2014 Mazda CX-5 Sport,"$10,761","115,899 mi.",https://www.cars.com/i/large/in/v2/64dfa73e-02c0-53dc-a399-f6ff203bf188/5a8ea24b-18fd-4a0c-a9e6-a40ba6a2f20c/g2XOKF_BNL9XxCcG3l1Y1AFUUHU.jpg,"Seller’s notes about this car

      2014 Mazda CX-5 Sport AWD Crystal White Pearl Mica BLUETOOTH, HANDS-FREE, KEYLESS ENTRY, PUSH BUTTON START, 4 Speakers, Alloy wheels, CD player, Driver door bin, Illuminated entry, Power door mirrors, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Turn sig
      
        
nal indicator mirrors. 25/31 City/Highway MPG Clean CARFAX. Free valet parking with indoor parking, shop for your vehicle in our 700,000 sq. Ft. Temperature controlled indoor showrooms. Reviews:  If you want a 5-passenger SUV that offers great looks, playful driving manners, impressive technology and good value, the 2014 Mazda CX-5 deserves a test-drive. That it boasts class-leading fuel economy of up to 35 mpg feels like icing on an already tasty cake. Source: KBB.com  Engaging driving experience; fuel-efficient engines; sharp styling. Source: Edmunds  Introducing a feat of engineering previously thought to be impossible: the crossover without compromise. Not only does the Mazda CX-5 offer confident driving, versatility, all-weather capability, spaciousness and advanced features, but it does so with amazing highway MPG. To make this possible Mazda developed an engineering philosophy called SKYACTIV TECHNOLOGY, including a new 2.5L SKYACTIV-G gas engine, which reimagines every component to work together in unprecedented harmony. CX-5's aerodynamic curves and sloping roofline reduce wind turbulence and allow for the vehicle's weight to be distributed toward the rear axle for increased stability. CX-5 is packed with advanced features that adjust to your driving needs, such as available rain-sensing windshield wipers, heated side mirrors, and 17 to 19 inch aluminum alloy wheels fitted with all-season tires. With CX-5's SKYACTIV-G 2.0L gasoline engine it produces 155 horsepower and an impressive 150 lb-ft torque delivering an EPA estimated 35 MPG hwy. For extra power and torque, upgrade to the 2.5L SKYACTIV-G. It's quick off the line with 184 horsepower yet still surprisingly fuel-efficient. CX-5 features two transmission options: the ultra-responsive 6-speed manual and the 6-speed Sport automatic. The Mazda CX-5 blends sophisticated details, like available double stitched premium leather trimmed seats, a power moonroof, and ample passenger and cargo volume (64.8 cubic feet) to create a stylish all-purpose cabin. Crisp, immersive sound is delivered through an available 9 speaker Bose Centerpoint Surround Sound System with AudioPilot noise compensation technology. Connect your iPod or other MP3 device with the USB audio input or auxiliary jack. CX-5 offers available HD Radio, Pandora Internet radio connectivity and SiriusXM Satellite Radio. The available fully integrated in dash navigation system powered by TomTom with a 5.8 inch full color touch screen display features intuitive voice recognition. Source: The Manufacturer Summary Awards:  2014 IIHS Top Safety Pick, Top Safety Pick+  2014 KBB.com 5-Year Cost to Own Awards

"
2021 Toyota RAV4 Hybrid XSE,"$31,465","35,557 mi.",https://www.cars.com/i/large/in/v2/64dfa73e-02c0-53dc-a399-f6ff203bf188/50d983ea-fe1c-45a6-927e-b62736144332/p8tij_RFl3Woh8tKbIfru7JddzI.jpg,"Seller’s notes about this car

      2021 Toyota RAV4 Hybrid XSE AWD Blue BACK UP CAMERA, NAVIGATION, BLUETOOTH, HANDS-FREE, SUNROOF, LEATHER, HEATED SEATS, HEATED STEERING WHEEL, KEYLESS ENTRY, PUSH BUTTON START, LANE DEPARTURE ALERT WITH STEERING ASSIST, BLIND SPOT MONITOR, REAR CROSS TRAFFIC ALERT, APPLE CARPLAY / ANDRO
      
        
ID AUTO, POWER LIFTGATE, REMOTE START, TOYOTA CERTIFIED, 2.5L 4-Cylinder, 3 Spoke Leather Steering Wheel, ABS brakes, Apple CarPlay/Android Auto, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Heated 3-Spoke Leather Steering Wheel, Heated Front Seats, Lane Departure Warning System, Power Liftgate, Power moonroof, Radio: Audio Plus, Rain Sensing Front Wipers, Remote keyless entry, SofTex Seat Trim (EC), Steering wheel mounted audio controls, Wheels: 18 x 7.0J Black-Painted Aluminum Alloy, Wiper Deicer, XSE Grade Weather Package. 41/38 City/Highway MPG Priced below KBB Fair Purchase Price! CARFAX One-Owner. Toyota Certified Used Hybrids Details:  Limited Comprehensive Warranty: 12 Month/12,000 Mile (whichever comes first) from certified purchase date. HV Battery Warranty coverage for 10 years/150,000 miles. (2020 model year forward Hybrid-Related) 8 years/100,000 miles, whichever comes first, from original date of first use when sold as new. Fuel Cell Vehicle Warranty 8 years/100,000 mile (whichever comes first) on key fuel cell components. Roadside Assistance for 7 Year / 100,000 Mile  Transferable Warranty  160 Point Inspection  Warranty Deductible: $0  Vehicle History  Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from TCUV purchase date  Roadside Assistance Free valet parking with indoor parking, shop for your vehicle in our 700,000 sq. Ft. Temperature controlled indoor showrooms.

"
2016 Toyota Camry SE,"$16,995","42,411 mi.",https://www.cars.com/i/large/in/v2/64dfa73e-02c0-53dc-a399-f6ff203bf188/29ef088f-2180-422e-b3d3-0823838a53f3/HsKKDMmEeKHlz2Hee2qivz6v_aM.jpg,"Seller’s notes about this car

      2016 Toyota Camry SE Attitude Black BACK UP CAMERA, BLUETOOTH, HANDS-FREE, KEYLESS ENTRY, Black w/Sport Fabric Softex-Trimmed Front Seat Trim, 6 Speakers, ABS brakes, Alloy wheels, Driver door bin, Electronic Stability Control, Heated door mirrors, Illuminated entry, Low tire pressure warning, Po
      
        
wer driver seat, Radio: Entune Audio, Remote keyless entry, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Traction control. 25/35 City/Highway MPG Priced below KBB Fair Purchase Price! Clean CARFAX. Free valet parking with indoor parking, shop for your vehicle in our 700,000 sq. Ft. Temperature controlled indoor showrooms. Awards:  2016 KBB.com 10 Most Comfortable Cars Under $30,000  2016 KBB.com 10 Best Used Cars Under $15,000  2016 KBB.com 10 Best Sedans Under $25,000  2016 KBB.com 10 Best UberX Candidates  2016 KBB.com 5-Year Cost to Own Awards  2016 KBB.com Best Buy Awards Finalist  2016 KBB.com 10 Most Awarded Cars

"
2022 Toyota Sienna XLE,"$42,731","18,354 mi.",https://www.cars.com/i/large/in/v2/64dfa73e-02c0-53dc-a399-f6ff203bf188/122b8d91-c37e-44e8-ad41-823bebf9605b/xvh9dXQgAkmWMBL_ett7r_eEhxc.jpg,"Seller’s notes about this car

      2022 Toyota Sienna XLE Blueprint BACK UP CAMERA, BLUETOOTH, HANDS-FREE, SUNROOF, HEATED SEATS, MULTI-ZONE CLIMATE CONTROL, KEYLESS ENTRY, PUSH BUTTON START, PEDESTRIAN DETECTION, DYNAMIC RADAR CRUISE CONTROL, LANE DEPARTURE ALERT WITH STEERING ASSIST, BLIND SPOT MONITOR, REAR CROSS TRAFF
      
        
IC ALERT, SIRIUSXM, APPLE CARPLAY / ANDROID AUTO, SMART KEY SYSTEM, AUTOMATIC HIGH BEAMS, POWER LIFTGATE, 8 PASSENGER,  TOYOTA CERTIFIED , Alloy wheels, Driver door bin, Illuminated entry, Radio: Premium JBL Audio w/Navigation, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wireless Charger, XLE Plus Package. 36/36 City/Highway MPG Clean CARFAX. Toyota Gold Certified Details:  Transferable Warranty  Warranty Deductible: $0  Limited Comprehensive Warranty: 12 Month/12,000 Mile (whichever comes first) from certified purchase date. Roadside Assistance for 7 Year / 100,000 Mile  160 Point Inspection  Limited Warranty: 12 Month/12,000 Mile Limited Comprehensive Warranty: 12 Month/12,000 Mile (whichever comes first) from certified purchase date. Roadside Assistance for 7 Year / 100,000 Mile. Standard New-Car Financing Rates Available. Warranty honored at over 1,400 Toyota dealers in the continental U.S. & Canada. Trade-ins accepted. Trouble-free handling of your transaction, including DMV paperwork.  Vehicle History  Roadside Assistance  Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from TCUV purchase date Free valet parking with indoor parking, shop for your vehicle in our 700,000 sq. Ft. Temperature controlled indoor showrooms.

"
2023 Toyota Sequoia Capstone,"$72,741","12,184 mi.",https://www.cars.com/i/large/in/v2/64dfa73e-02c0-53dc-a399-f6ff203bf188/9ba90cf4-5820-4b4f-b268-db6123d869cf/_OOdv1pWOvkwyXg4acPWrKQw_Gg.jpg,"Seller’s notes about this car

      2023 Toyota Sequoia Capstone Supersonic Red BACK UP CAMERA, NAVIGATION, BLUETOOTH, HANDS-FREE, PANORAMIC ROOF, SUNROOF, LEATHER, HEATED SEATS, 3RD ROW SEAT, HEATED STEERING WHEEL, KEYLESS ENTRY, PUSH BUTTON START, LANE DEPARTURE ALERT WITH STEERING ASSIST, BLIND SPOT MONITOR, REAR CROS
      
        
S TRAFFIC ALERT, APPLE CARPLAY / ANDROID AUTO, POWER LIFTGATE, REMOTE START, TOYOTA CERTIFIED, V6 Hybrid, 10-Speed Automatic, 4WD, ABS brakes, Active Cruise Control, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Front dual zone A/C, Heads-Up Display, Heated & Ventilated Front Seats, Heated door mirrors, Heated front seats, Heated Power Auto-Dimming Outside Mirrors, Heated rear seats, Navigation System, Navigation system: Drive Connect (1 year trial) includes Cloud Navigation with real time traffic and Google POI, Power Liftgate, Power moonroof, Remote keyless entry, Semi-Aniline Leather Seat Trim, Traction control, Wheels: 22 Machined-Finish Alloy. Priced below KBB Fair Purchase Price! Clean CARFAX. CARFAX One-Owner. Free valet parking with indoor parking, shop for your vehicle in our 700,000 sq. Ft. Temperature controlled indoor showrooms.

"
